rules,support,confidence,coverage,lift,count
{GARAGE DESIGN} => {KEY FOB},0.00559600130392263,1,0.00559600130392263,49.0826666666667,103
{ELEPHANT} => {BIRTHDAY CARD},0.00684559382809953,1,0.00684559382809953,76.0578512396694,126
{COFFEE MUG DOG + BALL DESIGN} => {COFFEE MUG CAT + BIRD DESIGN},0.00662827338911225,0.853146853146853,0.0077692056937955,86.7570219835413,122
{PINK VINTAGE SPOT BEAKER} => {BLUE VINTAGE SPOT BEAKER},0.00624796262088449,0.871212121212121,0.00717157448658046,97.7776237989653,115
{HERB MARKER CHIVES} => {HERB MARKER THYME},0.00836683690101054,0.927710843373494,0.0090187982179724,91.8034719523254,154
{HERB MARKER CHIVES} => {HERB MARKER MINT},0.00836683690101054,0.927710843373494,0.0090187982179724,89.4002397022646,154
{HERB MARKER CHIVES} => {HERB MARKER PARSLEY},0.00842116701075736,0.933734939759036,0.0090187982179724,91.9054828941434,155
{HERB MARKER CHIVES} => {HERB MARKER BASIL},0.00798652613278279,0.885542168674699,0.0090187982179724,86.6983465778006,147
{HERB MARKER CHIVES} => {HERB MARKER ROSEMARY},0.00836683690101054,0.927710843373494,0.0090187982179724,89.8707672796449,154
{COAL BLACK} => {FEATHER PEN},0.00597631207215039,1,0.00597631207215039,77.0125523012552,110
{REGENCY TEA PLATE PINK} => {REGENCY TEA PLATE GREEN},0.010974682168858,0.901785714285714,0.0121699445832881,61.4750661375661,202
{REGENCY TEA PLATE PINK} => {REGENCY TEA PLATE ROSES},0.0107030316201239,0.879464285714286,0.0121699445832881,49.3518891550523,197
{RETRO SPOT} => {BIRTHDAY CARD},0.00684559382809953,1,0.00684559382809953,76.0578512396694,126
{LIGHT PINK} => {FEATHER PEN},0.00570466152341628,1,0.00570466152341628,77.0125523012552,105
{POPPY'S PLAYHOUSE BATHROOM} => {POPPY'S PLAYHOUSE BEDROOM},0.00782353580354232,0.85207100591716,0.00918178854721287,49.6304396674406,144
{POPPY'S PLAYHOUSE BATHROOM} => {POPPY'S PLAYHOUSE KITCHEN},0.00820384657177007,0.893491124260355,0.00918178854721287,47.5306289975032,151
{GARAGE KEY FOB} => {KEY FOB},0.00570466152341628,0.91304347826087,0.00624796262088449,44.8146086956522,105
{SET 3 RETROSPOT TEA} => {COFFEE},0.013093556448984,1,0.013093556448984,57.6990595611285,241
{SUGAR} => {COFFEE},0.013093556448984,1,0.013093556448984,57.6990595611285,241
{FRONT  DOOR} => {KEY FOB},0.00874714766923829,1,0.00874714766923829,49.0826666666667,161
{HOT PINK} => {FEATHER PEN},0.008529827230251,1,0.008529827230251,77.0125523012552,157
{AIRLINE LOUNGE} => {METAL SIGN},0.00809518635227643,1,0.00809518635227643,88.066985645933,149
{POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE KITCHEN},0.0116809735955667,0.853174603174603,0.0136911876561991,45.3859299018259,215
{BACK DOOR} => {KEY FOB},0.0127132456807563,1,0.0127132456807563,49.0826666666667,234
{SHED} => {KEY FOB},0.0143974790829077,1,0.0143974790829077,49.0826666666667,265
{DOLLY GIRL CHILDRENS CUP,SPACEBOY CHILDRENS BOWL} => {DOLLY GIRL CHILDRENS BOWL},0.00521569053569488,0.96969696969697,0.00537868086493535,126.583279604556,96
{REGENCY MILK JUG PINK,REGENCY TEA PLATE PINK} => {REGENCY SUGAR BOWL GREEN},0.0052700206454417,0.915094339622642,0.0057589916331631,62.8478597578147,97
{REGENCY TEA PLATE PINK,REGENCY TEAPOT ROSES} => {REGENCY SUGAR BOWL GREEN},0.00521569053569488,0.888888888888889,0.00586765185265674,61.0480928689884,96
{GREEN REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE PINK} => {PINK REGENCY TEACUP AND SAUCER},0.00581332174290992,0.899159663865546,0.00646528305987178,29.7660661386857,107
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE PINK} => {ROSES REGENCY TEACUP AND SAUCER},0.00592198196240356,0.865079365079365,0.00684559382809953,20.3354416266294,109
{GREEN REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE PINK} => {ROSES REGENCY TEACUP AND SAUCER},0.0057589916331631,0.890756302521008,0.00646528305987178,20.9390300181375,106
{REGENCY MILK JUG PINK,REGENCY TEA PLATE GREEN} => {REGENCY SUGAR BOWL GREEN},0.00586765185265674,0.955752212389381,0.00613930240139085,65.640206049399,108
{REGENCY MILK JUG PINK,REGENCY TEAPOT ROSES} => {REGENCY SUGAR BOWL GREEN},0.00896446810822558,0.859375,0.0104313810713898,59.0211054104478,165
{REGENCY MILK JUG PINK,REGENCY TEA PLATE ROSES} => {REGENCY SUGAR BOWL GREEN},0.00657394327936542,0.896296296296296,0.00733456481582093,61.55682697623,121
{REGENCY MILK JUG PINK,REGENCY TEA PLATE GREEN} => {REGENCY TEA PLATE ROSES},0.00554167119417581,0.902654867256637,0.00613930240139085,50.6532484351392,102
{REGENCY MILK JUG PINK,REGENCY TEA PLATE ROSES} => {REGENCY TEAPOT ROSES},0.00624796262088449,0.851851851851852,0.00733456481582093,44.2914835739695,115
{GREEN REGENCY TEACUP AND SAUCER,REGENCY MILK JUG PINK} => {ROSES REGENCY TEACUP AND SAUCER},0.00521569053569488,0.864864864864865,0.00603064218189721,20.3303993648821,96
{REGENCY TEA PLATE GREEN,REGENCY TEAPOT ROSES} => {REGENCY SUGAR BOWL GREEN},0.00592198196240356,0.879032258064516,0.00673693360860589,60.371148290804,109
{REGENCY SUGAR BOWL GREEN,REGENCY TEA PLATE GREEN} => {REGENCY TEA PLATE ROSES},0.00646528305987178,0.894736842105263,0.00722590459632728,50.2089216944801,119
{REGENCY SUGAR BOWL GREEN,REGENCY TEA PLATE ROSES} => {REGENCY TEAPOT ROSES},0.00684559382809953,0.851351351351351,0.00804085624252961,44.2654603756299,126
{PINK REGENCY TEACUP AND SAUCER,REGENCY SUGAR BOWL GREEN} => {GREEN REGENCY TEACUP AND SAUCER},0.00532435075518853,0.890909090909091,0.00597631207215039,23.730930140771,98
